id,mmsi,length,width,polarMode,centerLookAngle,heightspace,widthspace,path
Ship_C01S02N0109,412379820,190,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0110,412380580,170,24,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0111,412599000,199,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0112,412607000,190,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0113,412728000,164,22,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0114,412760610,99,16,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0115,412842000,190,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0116,413184000,199,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0117,413189000,199,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0118,413196000,225,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0119,413225000,226,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0120,413266000,190,30,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0121,412028000,220,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0122,413270520,53,9,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0123,413271990,190,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0124,413303070,106,16,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0125,413320470,158,23,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0126,413320630,0,0,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0127,413350640,146,21,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0128,413352060,160,24,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0129,413360150,180,29,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0130,413376170,159,23,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0131,413376390,200,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0132,413376790,190,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0133,413405000,225,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0134,413405680,225,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0135,412078000,199,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0136,413408230,225,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0137,413416560,225,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0138,413438430,159,25,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0139,412094000,189,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0140,413461550,225,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0141,413615000,166,24,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0142,413636000,122,18,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0143,413656000,225,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0144,413671000,155,22,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0145,413691690,164,22,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0146,413702190,180,29,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0147,413703000,159,24,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0148,412128000,189,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0149,413776000,189,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0150,413795000,166,24,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0151,413839000,186,30,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0152,413917000,162,25,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0153,412174000,189,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0154,413925000,225,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0155,413926000,199,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0156,413929000,185,31,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0157,413941000,200,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0158,413974000,225,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0159,413979000,199,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0160,414007000,189,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0161,414034000,225,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0162,412175000,189,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0163,414039000,200,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0164,414058000,225,33,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0165,414064000,220,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0166,414068000,200,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0167,414069000,199,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0168,414074000,190,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0169,414110000,200,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0170,414122000,190,31,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0171,414124000,224,34,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0172,414134000,199,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0173,412178000,200,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0174,414146000,215,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0175,414163000,225,33,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0176,414169000,189,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0177,414190000,221,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0178,414194000,190,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0179,414232000,200,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0180,414235000,200,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0181,414251000,225,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0182,414709000,200,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0183,414723000,199,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0184,414757000,199,32,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0185,150202662,86,0,DV,33.54,1.707884,1.124222,Cargo\BulkCarrier
Ship_C01S02N0186,538003107,225,32,DH,33.54,1.716149,1.124222,Cargo\BulkCarrier
Ship_C01S02N0187,256038000,117,20,DH,33.54,1.715273,1.124222,Cargo\BulkCarrier
Ship_C01S02N0188,412274000,225,32,DH,27.28,1.730825,1.124222,Cargo\BulkCarrier
Ship_C01S02N0189,413488360,0,0,DH,42.51,1.702183,1.124222,Cargo\BulkCarrier
Ship_C01S02N0190,413556039,57,9,DH,42.51,1.702183,1.124222,Cargo\BulkCarrier
Ship_C01S02N0191,413686358,68,16,DH,42.51,1.702183,1.124222,Cargo\BulkCarrier
Ship_C01S02N0192,412436120,180,30,DH,42.51,1.702043,1.124222,Cargo\BulkCarrier
Ship_C01S02N0193,413532000,168,23,DH,42.51,1.702043,1.124222,Cargo\BulkCarrier
Ship_C01S02N0194,412766030,51,8,DH,42.51,1.701818,1.124222,Cargo\BulkCarrier
Ship_C01S02N0195,351199000,225,32,DH,42.51,1.701818,1.124222,Cargo\BulkCarrier
Ship_C01S02N0196,371119000,225,32,DH,42.51,1.701818,1.124222,Cargo\BulkCarrier
Ship_C01S02N0197,373687000,200,32,DH,42.51,1.701818,1.124222,Cargo\BulkCarrier
Ship_C01S02N0198,374394000,225,32,DH,42.51,1.701818,1.124222,Cargo\BulkCarrier
Ship_C01S02N0199,412004000,189,32,DH,42.51,1.701818,1.124222,Cargo\BulkCarrier
Ship_C01S02N0200,477502000,177,26,DH,42.51,1.701818,1.124222,Cargo\BulkCarrier
Ship_C01S02N0201,538005738,229,32,DH,42.51,1.701818,1.124222,Cargo\BulkCarrier
Ship_C01S02N0202,636017799,160,24,DH,42.51,1.701818,1.124222,Cargo\BulkCarrier
Ship_C01S02N0203,412380760,182,32,DH,42.51,1.701818,1.124222,Cargo\BulkCarrier
Ship_C01S02N0204,413370750,111,19,DH,42.51,1.701591,1.124222,Cargo\BulkCarrier
Ship_C01S02N0205,413553780,158,23,DH,42.51,1.701591,1.124222,Cargo\BulkCarrier
Ship_C01S02N0206,413374480,147,21,DH,42.51,1.701515,1.124222,Cargo\BulkCarrier
Ship_C01S02N0207,413409960,145,20,DH,42.51,1.701515,1.124222,Cargo\BulkCarrier
Ship_C01S02N0208,413456376,0,0,DH,42.51,1.701515,1.124222,Cargo\BulkCarrier
Ship_C01S02N0209,900522130,0,0,DH,42.51,1.701515,1.124222,Cargo\BulkCarrier
Ship_C01S02N0210,2065686,0,0,DH,42.51,1.701438,1.124222,Cargo\BulkCarrier
Ship_C01S02N0211,413364000,189,32,DH,42.51,1.701438,1.124222,Cargo\BulkCarrier
Ship_C01S02N0212,413377450,160,25,DH,42.51,1.701438,1.124222,Cargo\BulkCarrier
Ship_C01S02N0213,168168168,0,0,DH,42.51,1.701438,1.124222,Cargo\BulkCarrier
Ship_C01S02N0214,355815000,190,32,DH,42.51,1.701438,1.124222,Cargo\BulkCarrier
Ship_C01S02N0215,412380580,170,24,DH,42.51,1.701438,1.124222,Cargo\BulkCarrier
Ship_C01S02N0216,413304560,190,32,DH,42.51,1.701209,1.124222,Cargo\BulkCarrier
Ship_C01S02N0217,413980000,190,32,DH,42.51,1.701209,1.124222,Cargo\BulkCarrier
Ship_C01S02N0218,412437730,140,20,DH,42.51,1.701132,1.124222,Cargo\BulkCarrier
Ship_C01S02N0219,413303190,187,32,DH,42.51,1.700977,1.124222,Cargo\BulkCarrier
Ship_C01S02N0220,413438480,135,19,DH,42.51,1.700977,1.124222,Cargo\BulkCarrier
Ship_C01S02N0221,413453390,145,21,DH,42.51,1.700977,1.124222,Cargo\BulkCarrier
Ship_C01S02N0222,413523160,131,18,DH,42.51,1.700977,1.124222,Cargo\BulkCarrier
Ship_C01S02N0223,413619000,147,21,DH,42.51,1.700977,1.124222,Cargo\BulkCarrier
Ship_C01S02N0224,413697690,123,18,DH,42.51,1.700977,1.124222,Cargo\BulkCarrier
Ship_C01S02N0225,413699430,147,20,DH,42.51,1.700977,1.124222,Cargo\BulkCarrier
Ship_C01S02N0226,413809000,147,21,DH,42.51,1.700977,1.124222,Cargo\BulkCarrier
Ship_C01S02N0227,414282000,192,32,DH,42.51,1.700977,1.124222,Cargo\BulkCarrier
Ship_C01S02N0228,412380020,159,24,DH,42.51,1.700977,1.124222,Cargo\BulkCarrier
Ship_C01S02N0229,412434340,128,18,DH,42.51,1.700977,1.124222,Cargo\BulkCarrier
Ship_C01S02N0230,413370040,69,7,DH,42.51,1.700838,1.124222,Cargo\BulkCarrier
Ship_C01S02N0231,413507160,140,20,DH,42.51,1.700838,1.124222,Cargo\BulkCarrier
Ship_C01S02N0232,413592220,157,22,DH,42.51,1.700838,1.124222,Cargo\BulkCarrier
Ship_C01S02N0233,413693080,122,18,DH,42.51,1.700838,1.124222,Cargo\BulkCarrier
Ship_C01S02N0234,414024000,190,32,DH,42.51,1.700838,1.124222,Cargo\BulkCarrier
Ship_C01S02N0235,414170000,189,32,DH,42.51,1.700838,1.124222,Cargo\BulkCarrier
Ship_C01S02N0236,513105127,0,0,DH,42.51,1.700838,1.124222,Cargo\BulkCarrier
Ship_C01S02N0237,412355810,122,16,DH,42.51,1.700838,1.124222,Cargo\BulkCarrier
Ship_C01S02N0238,413325830,93,13,DH,42.51,1.700838,1.124222,Cargo\BulkCarrier
Ship_C01S02N0239,413449830,190,34,DH,42.51,1.70526,1.124222,Cargo\BulkCarrier
Ship_C01S02N0240,413552830,147,21,DH,42.51,1.70526,1.124222,Cargo\BulkCarrier
Ship_C01S02N0241,413697880,161,23,DH,42.51,1.70526,1.124222,Cargo\BulkCarrier
Ship_C01S02N0242,414781000,190,32,DH,42.51,1.70526,1.124222,Cargo\BulkCarrier
Ship_C01S02N0243,413352630,97,16,DH,42.51,1.70526,1.124222,Cargo\BulkCarrier
Ship_C01S02N0244,413376230,189,32,DH,42.51,1.70526,1.124222,Cargo\BulkCarrier
Ship_C01S02N0245,413696980,190,32,DH,42.51,1.705184,1.124222,Cargo\BulkCarrier
Ship_C01S02N0246,413898000,162,26,DH,42.51,1.705184,1.124222,Cargo\BulkCarrier
Ship_C01S02N0247,414029000,226,32,DH,42.51,1.705184,1.124222,Cargo\BulkCarrier
Ship_C01S02N0248,414132000,199,32,DH,42.51,1.705184,1.124222,Cargo\BulkCarrier
Ship_C01S02N0249,414275000,225,32,DH,42.51,1.705184,1.124222,Cargo\BulkCarrier
Ship_C01S02N0250,412741000,189,32,DH,42.51,1.705184,1.124222,Cargo\BulkCarrier
Ship_C01S02N0251,413400620,88,13,DH,42.51,1.705184,1.124222,Cargo\BulkCarrier
Ship_C01S02N0252,210409000,222,30,DH,42.51,1.705108,1.124222,Cargo\BulkCarrier
Ship_C01S02N0253,412084000,225,32,DH,42.51,1.705108,1.124222,Cargo\BulkCarrier
Ship_C01S02N0254,412175000,189,32,DH,42.51,1.705108,1.124222,Cargo\BulkCarrier
Ship_C01S02N0255,413378270,199,32,DH,42.51,1.705108,1.124222,Cargo\BulkCarrier
Ship_C01S02N0256,413696550,140,20,DH,42.51,1.705108,1.124222,Cargo\BulkCarrier
Ship_C01S02N0257,414264000,225,32,DH,42.51,1.705108,1.124222,Cargo\BulkCarrier
Ship_C01S02N0258,235011580,200,32,DH,42.51,1.705031,1.124222,Cargo\BulkCarrier
Ship_C01S02N0259,412762410,140,20,DH,42.51,1.705031,1.124222,Cargo\BulkCarrier
Ship_C01S02N0260,412765000,199,32,DH,42.51,1.705031,1.124222,Cargo\BulkCarrier
Ship_C01S02N0261,412274000,225,32,DH,42.51,1.704954,1.124222,Cargo\BulkCarrier
Ship_C01S02N0262,413688000,140,20,DH,42.51,1.704954,1.124222,Cargo\BulkCarrier
Ship_C01S02N0263,414751000,190,32,DH,42.51,1.704954,1.124222,Cargo\BulkCarrier
Ship_C01S02N0264,412029000,189,32,DH,42.51,1.704877,1.124222,Cargo\BulkCarrier
Ship_C01S02N0265,412055560,0,0,DH,42.51,1.704877,1.124222,Cargo\BulkCarrier
Ship_C01S02N0266,412274000,225,32,DH,42.51,1.704877,1.124222,Cargo\BulkCarrier
Ship_C01S02N0267,413555920,109,27,DH,42.51,1.704877,1.124222,Cargo\BulkCarrier
Ship_C01S02N0268,414055000,189,32,DH,42.51,1.7048,1.124222,Cargo\BulkCarrier
Ship_C01S02N0269,414703000,190,32,DH,42.51,1.7048,1.124222,Cargo\BulkCarrier
Ship_C01S02N0270,413985000,225,32,DH,42.51,1.704491,1.124222,Cargo\BulkCarrier
Ship_C01S02N0271,413322230,80,13,DH,42.51,1.704413,1.124222,Cargo\BulkCarrier
Ship_C01S02N0272,414025000,179,26,DH,22.53,1.366616,1.124222,Cargo\BulkCarrier
Ship_C01S02N0273,413700150,190,32,DH,42.51,1.703789,1.124222,Cargo\BulkCarrier
Ship_C01S03N0001,413458790,132,19,DH,40.36,1.729171,1.124222,Cargo\Cargo-HazardA
Ship_C01S03N0002,413786273,68,12,DH,40.36,1.729171,1.124222,Cargo\Cargo-HazardA
Ship_C01S03N0003,413809138,37,7,DV,31.57,1.540392,1.124222,Cargo\Cargo-HazardA
